seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.00005489,0.00018790,0.00013301,0.00061698,0.00079007,0.00017309,0.00065243,0.00086243,0.00021000,0.00248649,0.00269969,0.00021320,0.00093334,0.00113700,0.00020366
0.00005912,0.00027469,0.00021557,0.00048681,0.00067486,0.00018805,0.00062799,0.00084265,0.00021466,0.00098046,0.00117960,0.00019914,0.00096275,0.00115248,0.00018973
0.00005885,0.00077806,0.00071921,0.00087255,0.00108493,0.00021238,0.00059345,0.00080456,0.00021111,0.00299874,0.00353373,0.00053499,0.00083224,0.00100393,0.00017169
0.00009758,0.00038329,0.00028571,0.00303631,0.00330724,0.00027093,0.00401799,0.00432539,0.00030740,0.00087915,0.00105358,0.00017443,0.00703387,0.00725906,0.00022519
0.00007743,0.00030803,0.00023060,0.00053444,0.00076656,0.00023212,0.00094399,0.00117015,0.00022616,0.00059743,0.00075365,0.00015622,0.00086235,0.00105386,0.00019151
0.00005106,0.00022067,0.00016961,0.00058093,0.00092092,0.00033999,0.00056998,0.00079168,0.00022170,0.00067938,0.00084779,0.00016841,0.00099078,0.00120278,0.00021200
0.00005114,0.00023803,0.00018689,0.00069115,0.00089306,0.00020191,0.00065148,0.00084140,0.00018992,0.00066557,0.00082559,0.00016002,0.00074477,0.00092908,0.00018431
0.00005079,0.00020264,0.00015185,0.00058693,0.00081345,0.00022652,0.00171051,0.00215237,0.00044186,0.00121463,0.00144547,0.00023084,0.00084475,0.00102335,0.00017860
0.00005093,0.00023307,0.00018214,0.00048517,0.00072705,0.00024188,0.00219488,0.00241980,0.00022492,0.00073228,0.00092140,0.00018912,0.00086157,0.00102779,0.00016622
0.00005123,0.00024824,0.00019701,0.00081469,0.00106227,0.00024758,0.00055455,0.00073608,0.00018153,0.00083348,0.00101094,0.00017746,0.00091229,0.00112858,0.00021629
0.00009681,0.00034506,0.00024825,0.00049279,0.00068487,0.00019208,0.00053951,0.00071005,0.00017054,0.00071979,0.00088665,0.00016686,0.00081032,0.00098927,0.00017895
